Date,NCDATA.Death,NCDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,1,1
2020-3-26,2,1
2020-3-27,3,1
2020-3-28,4,1
2020-3-29,4,0
2020-3-30,6,2
2020-3-31,8,2
2020-4-1,10,2
2020-4-2,16,6
2020-4-3,19,3
2020-4-4,24,5
2020-4-5,31,7
2020-4-6,33,2
2020-4-7,46,13
2020-4-8,53,7
2020-4-9,65,12
2020-4-10,74,9
2020-4-11,80,6
2020-4-12,81,1
2020-4-13,86,5
2020-4-14,108,22
2020-4-15,117,9
2020-4-16,131,14
2020-4-17,152,21
2020-4-18,164,12
2020-4-19,172,8
2020-4-20,179,7
2020-4-21,213,34
2020-4-22,242,29
2020-4-23,253,11
2020-4-24,269,16
2020-4-25,289,20
2020-4-26,299,10
2020-4-27,306,7
2020-4-28,342,36
2020-4-29,354,12
2020-4-30,378,24
2020-5-1,399,21
2020-5-2,420,21
2020-5-3,422,2
2020-5-4,430,8
2020-5-5,452,22
2020-5-6,477,25
2020-5-7,507,30
2020-5-8,527,20
2020-5-9,544,17
2020-5-10,547,3
2020-5-11,550,3
2020-5-12,577,27
2020-5-13,597,20
2020-5-14,615,18
2020-5-15,641,26
2020-5-16,652,11
2020-5-17,659,7
2020-5-18,661,2
2020-5-19,691,30
2020-5-20,702,11
2020-5-21,716,14
2020-5-22,728,12
2020-5-23,737,9
2020-5-24,744,7
2020-5-25,754,10
2020-5-26,766,12
2020-5-27,794,28
2020-5-28,827,33
2020-5-29,859,32
2020-5-30,877,18
2020-5-31,886,9
2020-6-1,898,12
