Date,TXDATA.Death,TXDATA.DeathIncrease
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,1,1
2020-3-18,2,1
2020-3-19,3,1
2020-3-20,5,2
2020-3-21,5,0
2020-3-22,5,0
2020-3-23,8,3
2020-3-24,9,1
2020-3-25,12,3
2020-3-26,18,6
2020-3-27,23,5
2020-3-28,27,4
2020-3-29,34,7
2020-3-30,34,0
2020-3-31,41,7
2020-4-1,58,17
2020-4-2,70,12
2020-4-3,90,20
2020-4-4,105,15
2020-4-5,127,22
2020-4-6,140,13
2020-4-7,154,14
2020-4-8,177,23
2020-4-9,199,22
2020-4-10,226,27
2020-4-11,254,28
2020-4-12,271,17
2020-4-13,287,16
2020-4-14,318,31
2020-4-15,364,46
2020-4-16,393,29
2020-4-17,428,35
2020-4-18,453,25
2020-4-19,477,24
2020-4-20,495,18
2020-4-21,517,22
2020-4-22,543,26
2020-4-23,561,18
2020-4-24,593,32
2020-4-25,623,30
2020-4-26,648,25
2020-4-27,663,15
2020-4-28,690,27
2020-4-29,732,42
2020-4-30,782,50
2020-5-1,816,34
2020-5-2,847,31
2020-5-3,867,20
2020-5-4,884,17
2020-5-5,906,22
2020-5-6,948,42
2020-5-7,973,25
2020-5-8,1004,31
2020-5-9,1049,45
2020-5-10,1088,39
2020-5-11,1100,12
2020-5-12,1133,33
2020-5-13,1158,25
2020-5-14,1216,58
2020-5-15,1272,56
2020-5-16,1305,33
2020-5-17,1336,31
2020-5-18,1347,11
2020-5-19,1369,22
2020-5-20,1419,50
2020-5-21,1440,21
2020-5-22,1480,40
2020-5-23,1506,26
2020-5-24,1506,0
2020-5-25,1527,21
2020-5-26,1536,9
2020-5-27,1562,26
2020-5-28,1601,39
2020-5-29,1626,25
2020-5-30,1626,0
2020-5-31,1672,46
2020-6-1,1678,6
2020-6-2,1698,20
2020-6-3,1734,36
2020-6-4,1767,33
2020-6-5,1788,21
2020-6-6,1819,31
2020-6-7,1830,11
2020-6-8,1830,0
2020-6-9,1853,23
2020-6-10,1885,32
2020-6-11,1920,35
2020-6-12,1939,19
2020-6-13,1957,18
2020-6-14,1976,19
2020-6-15,1983,7
2020-6-16,2029,46
2020-6-17,2062,33
2020-6-18,2105,43
2020-6-19,2140,35
2020-6-20,2165,25
2020-6-21,2182,17
2020-6-22,2192,10
2020-6-23,2220,28
2020-6-24,2249,29
2020-6-25,2296,47
2020-6-26,2324,28
2020-6-27,2366,42
2020-6-28,2393,27
2020-6-29,2403,10
2020-6-30,2424,21
2020-7-1,2481,57
2020-7-2,2525,44
2020-7-3,2575,50
2020-7-4,2608,33
2020-7-5,2637,29
2020-7-6,2655,18
2020-7-7,2715,60
2020-7-8,2813,98
2020-7-9,2918,105
2020-7-10,3013,95
2020-7-11,3112,99
2020-7-12,3192,80
2020-7-13,3235,43
2020-7-14,3322,87
2020-7-15,3432,110
2020-7-16,3561,129
2020-7-17,3735,174
2020-7-18,3865,130
2020-7-19,3958,93
2020-7-20,4020,62
2020-7-21,4151,131
2020-7-22,4348,197
2020-7-23,4521,173
2020-7-24,4717,196
2020-7-25,4885,168
2020-7-26,5038,153
2020-7-27,5713,675
2020-7-28,5877,164
2020-7-29,6190,313
2020-7-30,6274,84
2020-7-31,6569,295
2020-8-1,6837,268
2020-8-2,6837,0
2020-8-3,7016,179
2020-8-4,7261,245
2020-8-5,7497,236
2020-8-6,7803,306
2020-8-7,8096,293
2020-8-8,8343,247
2020-8-9,8459,116
2020-8-10,8490,31
2020-8-11,8710,220
2020-8-12,9034,324
2020-8-13,9289,255
2020-8-14,9602,313
2020-8-15,9840,238
2020-8-16,9983,143
2020-8-17,10034,51
2020-8-18,10250,216
2020-8-19,10559,309
2020-8-20,10793,234
2020-8-21,11051,258
2020-8-22,11266,215
2020-8-23,11370,104
2020-8-24,11395,25
2020-8-25,11576,181
2020-8-26,11805,229
2020-8-27,12070,265
2020-8-28,12266,196
2020-8-29,12420,154
2020-8-30,12510,90
2020-8-31,12536,26
2020-9-1,12681,145
2020-9-2,12870,189
2020-9-3,13091,221
2020-9-4,13231,140
2020-9-5,13408,177
2020-9-6,13472,64
2020-9-7,13492,20
2020-9-8,13553,61
2020-9-9,13692,139
2020-9-10,13853,161
2020-9-11,13997,144
2020-9-12,14143,146
2020-9-13,14190,47
2020-9-14,14211,21
2020-9-15,14343,132
2020-9-16,14478,135
2020-9-17,14590,112
2020-9-18,14713,123
2020-9-19,14848,135
2020-9-20,14893,45
2020-9-21,14917,24
2020-9-22,14994,77
2020-9-23,15129,135
2020-9-24,15267,138
2020-9-25,15364,97
2020-9-26,15485,121
2020-9-27,15522,37
2020-9-28,15533,11
2020-9-29,15604,71
2020-9-30,15711,107
2020-10-1,15823,112
2020-10-2,15895,72
2020-10-3,15992,97
2020-10-4,16025,33
2020-10-5,16033,8
2020-10-6,16111,78
2020-10-7,16230,119
2020-10-8,16334,104
2020-10-9,16432,98
2020-10-10,16526,94
2020-10-11,16557,31
2020-10-12,16558,1
2020-10-13,16622,64
2020-10-14,16717,95
2020-10-15,16812,95
2020-10-16,16903,91
2020-10-17,16984,81
2020-10-18,17014,30
2020-10-19,17022,8
2020-10-20,17087,65
2020-10-21,17201,114
2020-10-22,17286,85
2020-10-23,17375,89
2020-10-24,17456,81
2020-10-25,17504,48
2020-10-26,17514,10
2020-10-27,17595,81
2020-10-28,17700,105
2020-10-29,17819,119
2020-10-30,17934,115
2020-10-31,18024,90
2020-11-1,18077,53
2020-11-2,18097,20
2020-11-3,18194,97
2020-11-4,18320,126
2020-11-5,18453,133
2020-11-6,18589,136
2020-11-7,18700,111
2020-11-8,18743,43
2020-11-9,18769,26
2020-11-10,18863,94
2020-11-11,19004,141
2020-11-12,19147,143
2020-11-13,19320,173
2020-11-14,19470,150
2020-11-15,19559,89
2020-11-16,19579,20
2020-11-17,19696,117
2020-11-18,19883,187
2020-11-19,20113,230
2020-11-20,20296,183
2020-11-21,20467,171
2020-11-22,20556,89
2020-11-23,20588,32
2020-11-24,20750,162
2020-11-25,20950,200
2020-11-26,21156,206
2020-11-27,21207,51
2020-11-28,21309,102
2020-11-29,21357,48
2020-11-30,21379,22
2020-12-1,21549,170
2020-12-2,21756,207
2020-12-3,22000,244
2020-12-4,22255,255
2020-12-5,22502,247
2020-12-6,22594,92
2020-12-7,22627,33
2020-12-8,22808,181
2020-12-9,23081,273
2020-12-10,23325,244
2020-12-11,23551,226
2020-12-12,23800,249
2020-12-13,23911,111
2020-12-14,23937,26
2020-12-15,24142,205
2020-12-16,24394,252
2020-12-17,24660,266
2020-12-18,24954,294
2020-12-19,25226,272
2020-12-20,25348,122
2020-12-21,25415,67
2020-12-22,25606,191
2020-12-23,25900,294
2020-12-24,26208,308
2020-12-25,26408,200
2020-12-26,26421,13
2020-12-27,26472,51
2020-12-28,26521,49
2020-12-29,26762,241
2020-12-30,27088,326
2020-12-31,27437,349
2021-1-1,27771,334
2021-1-2,27867,96
2021-1-3,27917,50
2021-1-4,27969,52
2021-1-5,28219,250
2021-1-6,28545,326
2021-1-7,28938,393
2021-1-8,29310,372
2021-1-9,29691,381
2021-1-10,29877,186
2021-1-11,29933,56
2021-1-12,30219,286
2021-1-13,30624,405
2021-1-14,31050,426
2021-1-15,31450,400
2021-1-16,31831,381
2021-1-17,32038,207
2021-1-18,32084,46
2021-1-19,32394,310
2021-1-20,32844,450
2021-1-21,33285,441
2021-1-22,33707,422
2021-1-23,34114,407
2021-1-24,34322,208
2021-1-25,34394,72
2021-1-26,34701,307
2021-1-27,35168,467
2021-1-28,35639,471
2021-1-29,35988,349
2021-1-30,36320,332
2021-1-31,36491,171
2021-2-1,36539,48
2021-2-2,36870,331
2021-2-3,37288,418
2021-2-4,37727,439
2021-2-5,38128,401
2021-2-6,38476,348
2021-2-7,38643,167
2021-2-8,38700,57
2021-2-9,39001,301
2021-2-10,39386,385
2021-2-11,39771,385
2021-2-12,40095,324
2021-2-13,40378,283
2021-2-14,40527,149
2021-2-15,40593,66
2021-2-16,40645,52
2021-2-17,40717,72
2021-2-18,40814,97
2021-2-19,40986,172
2021-2-20,41213,227
2021-2-21,41343,130
2021-2-22,41407,64
2021-2-23,41641,234
2021-2-24,41980,339
2021-2-25,42285,305
2021-2-26,42575,290
2021-2-27,42739,164
2021-2-28,42936,197
